stage,a_id,rater_id,set,stage_outcome
IL,A642,AReyes,overlap,OUT
IL,A642,JKiss,overlap,OUT
IL,A642,JVoisin,overlap,OUT
IL,A338,AReyes,overlap,REVIEW
IL,A338,JKiss,overlap,REVIEW
IL,A338,JVoisin,overlap,REVIEW
IL,A612,AReyes,overlap,REVIEW
IL,A612,JKiss,overlap,REVIEW
IL,A612,JVoisin,overlap,REVIEW
IL,A311,AReyes,overlap,REVIEW
IL,A311,JKiss,overlap,REVIEW
IL,A311,JVoisin,overlap,REVIEW
IL,A331,AReyes,overlap,REVIEW
IL,A331,JKiss,overlap,REVIEW
IL,A331,JVoisin,overlap,REVIEW
IL,A369,AReyes,overlap,REVIEW
IL,A369,JKiss,overlap,REVIEW
IL,A369,JVoisin,overlap,REVIEW
IL,A573,AReyes,overlap,REVIEW
IL,A573,JKiss,overlap,REVIEW
IL,A573,JVoisin,overlap,REVIEW
IL,A324,AReyes,overlap,REVIEW
IL,A324,JKiss,overlap,REVIEW
IL,A324,JVoisin,overlap,REVIEW
IL,A322,AReyes,overlap,REVIEW
IL,A322,JKiss,overlap,REVIEW
IL,A322,JVoisin,overlap,REVIEW
IL,A328,AReyes,overlap,REVIEW
IL,A328,JKiss,overlap,REVIEW
IL,A328,JVoisin,overlap,REVIEW
IL,A009,AReyes,overlap,REVIEW
IL,A009,JKiss,overlap,REVIEW
IL,A009,JVoisin,overlap,REVIEW
IL,A347,AReyes,overlap,REVIEW
IL,A347,JKiss,overlap,REVIEW
IL,A347,JVoisin,overlap,REVIEW
IL,A447,AReyes,overlap,REVIEW
IL,A447,JKiss,overlap,REVIEW
IL,A447,JVoisin,overlap,REVIEW
IL,A310,AReyes,overlap,REVIEW
IL,A310,JKiss,overlap,REVIEW
IL,A310,JVoisin,overlap,REVIEW
IL,A616,AReyes,overlap,REVIEW
IL,A616,JKiss,overlap,REVIEW
IL,A616,JVoisin,overlap,REVIEW
IL,A757,AReyes,disjoint,OUT
IL,A581,AReyes,disjoint,REVIEW
IL,A614,AReyes,disjoint,REVIEW
IL,A560,AReyes,disjoint,REVIEW
IL,A372,AReyes,disjoint,REVIEW
IL,A022,AReyes,disjoint,REVIEW
IL,A561,AReyes,disjoint,REVIEW
IL,A312,AReyes,disjoint,REVIEW
IL,A395,AReyes,disjoint,REVIEW
IL,A610,AReyes,disjoint,REVIEW
IL,A569,AReyes,disjoint,REVIEW
IL,A455,AReyes,disjoint,REVIEW
IL,A016,AReyes,disjoint,REVIEW
IL,A349,AReyes,disjoint,REVIEW
IL,A359,AReyes,disjoint,REVIEW
IL,A247,AReyes,disjoint,REVIEW
IL,A345,AReyes,disjoint,REVIEW
IL,A253,AReyes,disjoint,REVIEW
IL,A301,AReyes,disjoint,REVIEW
IL,A542,AReyes,disjoint,REVIEW
IL,A622,AReyes,disjoint,REVIEW
IL,A013,AReyes,disjoint,REVIEW
IL,A290,AReyes,disjoint,REVIEW
IL,A636,JKiss,disjoint,OUT
IL,A571,JKiss,disjoint,REVIEW
IL,A326,JKiss,disjoint,REVIEW
IL,A371,JKiss,disjoint,REVIEW
IL,A613,JKiss,disjoint,REVIEW
IL,A303,JKiss,disjoint,REVIEW
IL,A307,JKiss,disjoint,REVIEW
IL,A332,JKiss,disjoint,REVIEW
IL,A570,JKiss,disjoint,REVIEW
IL,A544,JKiss,disjoint,REVIEW
