local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,il_outcome,il_failed_ids,il_missing_ids,il_met_ids,il_uncertain_ids,il_evidence_json,il_reason_summary
A005,101007s1063901796760,A review of the use of virtual reality head-mounted displays in education and training,Lasse X Jensen; Flemming Konradsen,Lasse X Jensen,2017.0,10.1007/s10639-017-9676-0,,,,Education and Information Technologies,23,4,1515-1529,Springer Science and Business Media LLC,en,https://doi.org/10.1007/s10639-017-9676-0,0.9,resolved,openalex,2026-01-22T21:47:39Z,X001,"In the light of substantial improvements to the quality and availability of virtual reality (VR) hardware seen since 2013, this review seeks to update our knowledge about the use of head-mounted displays (HMDs) in education and training. Following a comprehensive search 21 documents reporting on experimental studies were identified, quality assessed, and analysed. The quality assessment shows that the study quality was below average according to the Medical Education Research Study Quality Instrument, especially for the studies that were designed as user evaluations of educational VR products. The review identified a number of situations where HMDs are useful for skills acquisition. These include cognitive skills related to remembering and understanding spatial and visual information and knowledge; psychomotor skills related to head-movement, such as visual scanning or observational skills; and affective skills related to controlling your emotional response to stressful or difficult situations. Outside of these situations the HMDs had no advantage when compared to less immersive technologies or traditional instruction and in some cases even proved counterproductive because of widespread cybersickness, technological challenges, or because the immersive experience distracted from the learning task.",Psychomotor learning; Virtual reality; Task (project management); Quality (philosophy); Cognition; Computer science; Cognitive load; Dreyfus model of skill acquisition; Psychology; Multimedia; Human–computer interaction; Applied psychology,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X001.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",PASS_CLEAN,,,A2,,"{""A2"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""The paper does not rely on desktop-only non-immersive VR."", ""quote_valid"": false, ""span"": [123, 146], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
A013,101007s1005501803641,Verification of the possibility and effectiveness of experiential learning using HMD-based immersive VR technologies,Chongsan Kwon,Chongsan Kwon,2018.0,10.1007/s10055-018-0364-1,,,,Virtual Reality,23,1,101-118,Springer Science and Business Media LLC,en,https://doi.org/10.1007/s10055-018-0364-1,0.9,resolved,openalex,2026-01-22T21:47:43Z,X001,"This paper examines the possibility of experiential learning in a virtual space using head-mounted-display-based immersive virtual reality (VR) technologies. Experiential learning refers to learning through direct experiences in the context of learning. Realistically, experiential learning is impossible in most cases, but VR technologies allowing direct interaction with virtual environments and objects are being developed and commercialized. These technologies are predicted to enhance vividness, interactivity, presence, flow, and experientiality, and increase the expectations of the possibility of experiential learning using VR. Thus, in this study, an experiment was conducted to verify such possibility. The analysis of the experiment results showed that the tactile interactivity and presence improved with the use of enhanced interaction technologies in VR, and in terms of experientiality, the experiment participants became highly aware of the ""exploratory stage,"" referring to the level of experience of being exposed to an interesting site and directly touching an object in the currently enhanced VR in providing direct tactile and locomotive interactivity. Furthermore, the fact that the learning effect is also partially enhanced was discovered. Accordingly, it was determined that experiential learning using VR is possible based on the experiment results, which showed that the enhanced vividness and interactivity of VR technologies allow the users to closely recognize virtual experiences as direct experiences, and that the learning effect is enhanced. It was also determined that experiential learning in a virtual environment that is identical to an experience in reality would be made possible in the near future based on continued technological development.",Interactivity; Experiential learning; Virtual reality; Computer science; Human–computer interaction; Instructional simulation; Multimedia; Context (archaeology); Psychology; Paleontology; Biology; Mathematics education,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""A2"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on A2 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A037,thevirtualrealityrovingvehicleproject,The Virtual Reality Roving Vehicle Project,William Winn,William Winn,1995.0,https://openalex.org/W1536858276,,,,,,,,,en,,0.9,resolved,openalex,2026-01-22T21:48:00Z,X002,"Between November 1994 and June 1995, almost 3,000 students in grades four through 12 throughout the state of Washington experienced Virtual Reality (VR) in their classrooms. Another 365 built their own Virtual Worlds. The Virtual Reality Roving Vehicle project (VRRV, pronounced verve) was funded by the US WEST Foundation to bring VR equipment and experiences to children in all areas of the state. The project was based at the Human Interface Technology Laboratory (HITL), part of the Washington Technology Center on the University of Washington campus in Seattle. The VRRV team consisted of software designers and engineers from HITL, Educational Technology faculty and students from the College of Education, a cadre of Van Techs who did everything from loading and driving vans to giving presentations and demonstrations in schools, plus students and teachers in close to 70 schools. Here, I describe what we did, how we did it, what we learned and what we plan to do next. What We Did Our goals were ambitious. First, we wanted as many children as possible to experience immersive VR and to discuss with them its potential and limitations. Popular media has hyped VR to excess and we felt that youngsters need to understand that VR is a technology that still has to mature before it is used widely. Second, we wanted to get our high-end workstations and software out of the lab and into children's hands, confident that they would use them effectively and imaginatively. And third, we wanted to see whether having students build virtual worlds that embodied concepts and principles they were learning as part of their regular curriculum would help them understand what they were studying. We were especially interested in determining whether this radically new technology and the learning strategies it supports can help children who are judged by traditional criteria to be less likely to succeed in school. Experience has shown that the only way technology can be successful in schools is if teachers and students have access to the machines they need, have the software to make them work, and have the knowledge and skill to take control of both. We addressed the access issue by setting up a van-based outreach program that carried VR workstations to schools. In the schools where worlds were built, we addressed software and control issues by providing the schools with modeling software that teachers and students learned to use, by building our own Supercard tool for automatically generating computer code that made virtual objects behave in particular ways, by putting on training workshops for teachers, and by working long hours with children as they planned and built their worlds. We used two vans. Each was equipped with a Division, Inc. Provision 100 workstation, a head-mounted display that provides stereo vision and audio, a hand-held wand for moving through virtual worlds and manipulating virtual objects, and an electromagnetic tracker that tracked both the position and attitude of the student's hand and head. The Provision 100 is a 486 system running UNIX. It achieves its high rate for rendering graphic images by graphics boards that provide massively parallel graphic processing. The system has sound capability. It runs dVISE software from Division (based in the U.K., with a U.S. office) that uses a C-like scripting language that serves to build and run virtual worlds. A limited amount of authoring and editing can be done through a graphic interface that runs under X-Windows. Centered Around Two Projects Our plan centered around two projects, which we called the Hors d'oeuvre and the Entree. All schools enjoyed the hors d'oeuvre; 14 stayed for the entree. For the hors d'oeuvre, we took a van to each of the VRRV schools for a day, longer in a few cases. We began by giving a presentation about VR to one or two classes of students and their teachers, spending time discussing VR with them. …",Virtual reality; Plan (archaeology); Engineering; Computer science; Human–computer interaction; History; Archaeology,False,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:-,EXCLUSION_SUPPRESSED,,,,,"{""A2"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.6, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on A2 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A094,101162105474699566341,Virtual Reality as Communication Tool: A Sociocognitive Analysis,Giuseppe Riva,Giuseppe Riva,1999.0,10.1162/105474699566341,,,,Presence: Teleoperators and Virtual Environments,8,4,462-468,MIT Press - Journals,en,https://doi.org/10.1162/105474699566341,0.9,resolved,openalex,2026-01-22T21:48:19Z,X003,"Virtual reality (VR) is usually described by the media as a particular collection of technological hardware: a computer capable of 3-D real-time animation, a head-mounted display, and data gloves equipped with one or more position trackers. However, this focus on technology is somewhat disappointing for communication researchers and VR designers. To overcome this limitation, this paper describes VR as a communication tool: a communication medium in the case of multiuser VR and a communication interface in single-user VR. The consequences of this approach for the design and the development of VR systems are presented, together with the methodological and technical implications for the study of interactive communication via computers.",Virtual reality; Human–computer interaction; Computer science; Focus (optics); Animation; BitTorrent tracker; Multimedia; Computer-mediated reality; Mixed reality; Computer graphics (images); Artificial intelligence; Eye tracking,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X003.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",REVIEW,,,,A2,"{""A2"": {""status"": ""UNCERTAIN"", ""decision"": ""not_meet"", ""confidence"": 0.5, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",REVIEW: uncertain A2
A176,101023a1012049406877,Construct3D: A Virtual Reality Application for Mathematics and Geometry Education,Hannes Kaufmann; Dieter Schmalstieg; Michael G. Wagner,Hannes Kaufmann,2000.0,10.1023/a:1012049406877,,,,Education and Information Technologies,5,4,263-276,Springer Science and Business Media LLC,en,https://doi.org/10.1023/a:1012049406877,0.9,resolved,openalex,2026-01-22T21:49:10Z,X006,Construct3D is a three dimensional geometric construction tool based on the collaborative augmented reality system ‘Studierstube’. Our setup uses a stereoscopic head mounted display (HMD) and the Personal Interaction Panel (PIP) - a two-handed 3D interaction tool that simplifies 3D model interaction. Means of application in mathematics and geometry education at high school as well as university level are being discussed. A pilot study summarizes the strengths and possible extensions of our system. Anecdotal evidence supports our claim that the use of Construct3D is easy to learn and encourages experimentation with geometric constructions.,Stereoscopy; Human–computer interaction; Computer science; Educational technology; Augmented reality; Optical head-mounted display; Computer graphics (images); Geometric modeling; Multimedia; Mathematics education; Artificial intelligence; Mathematics,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",REVIEW,,,,A2,"{""A2"": {""status"": ""UNCERTAIN"", ""decision"": ""not_meet"", ""confidence"": 0.4, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",REVIEW: uncertain A2
A182,10114527931072793117,Exploring Gameplay Experiences on the Oculus Rift,Chek Tien Tan; Tuck Wah Leong; Songjia Shen; Christopher Dubravs; Si Chen,Chek Tien Tan,2015.0,10.1145/2793107.2793117,,,,Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play,,,253-263,ACM,en,https://doi.org/10.1145/2793107.2793117,0.9,resolved,openalex,2026-01-22T21:49:12Z,X006,"Compared to previous head-mounted displays, the compact and low-cost Oculus Rift has claimed to offer improved virtual reality experiences. However, how and what kinds of user experiences are encountered by people when using the Rift in actual gameplay has not been examined. We present an exploration of 10 participants' experiences of playing a first-person shooter game using the Rift. Despite cybersickness and a lack of control, participants experienced heightened experiences, a richer engagement with passive game elements, a higher degree of flow and a deeper immersion on the Rift than on a desktop setup. Overly demanding movements, such as the large range of head motion required to navigate the game environment were found to adversely affect gaming experiences. Based on these and other findings, we also present some insights for designing games for the Rift.",Rift; Immersion (mathematics); Virtual reality; Computer science; Human–computer interaction; Psychology; Geology; Pure mathematics; Mathematics; Paleontology; Structural basin,False,conference,True,True,False,doi,,"{'venue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 4, 'heuristic': 1}","X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",PASS_CLEAN,,,A2,,"{""A2"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""on the Rift than on a desktop setup."", ""quote_valid"": true, ""span"": [65, 79], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
A229,101109eicemc20031247937,Cave Automatic Virtual Environment,H. Creagh,H. Creagh,2004.0,10.1109/eicemc.2003.1247937,,,,Proceedings: Electrical Insulation Conference and Electrical Manufacturing and Coil Winding Technology Conference (Cat. No.03CH37480),,,499-504,IEEE,en,https://doi.org/10.1109/eicemc.2003.1247937,0.9,resolved,openalex,2026-01-22T21:49:35Z,X009,"Technology has come a long way in the last decade. Many automotive, military vehicle, and other production and design companies have moved on from the 2D design programs to 3D virtual reality designs. The Cave Automatic Virtual Environment (CAVE) is a projection-based Virtual Reality display that was developed at the Electronic Visualization Laboratory. This projection system displays images in a 3D immersive four-walled room. It uses a real-time viewer-centered head tracking perspective with a large angle of view, interactive control, and binocular display.",Cave automatic virtual environment; Virtual reality; Computer science; Visualization; Cave; Computer graphics (images); Perspective (graphical); Projection (relational algebra); Optical head-mounted display; Virtual machine; Automotive industry; Human–computer interaction,False,conference,True,True,False,doi,,"{'venue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 4, 'heuristic': 1}","X009.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""A2"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on A2 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A285,10114528567672856796,RelaWorld,Ilkka Kosunen; Mikko Salminen; Simo Järvelä; Antti Ruonala; Niklas Ravaja; Giulio Jacucci,Ilkka Kosunen,2016.0,10.1145/2856767.2856796,,,,Proceedings of the 21st International Conference on Intelligent User Interfaces,,,208-217,ACM,en,https://doi.org/10.1145/2856767.2856796,0.9,resolved,openalex,2026-01-22T21:49:56Z,X010,"Meditation in general and mindfulness in particular have been shown to be useful techniques in the treatment of a plethora of ailments, yet they can be challenging for novices. We present RelaWorld: a neuroadaptive virtual reality meditation system that combines virtual reality with neurofeedback to provide a tool that is easy for novices to use yet provides added value even for experienced meditators. Using a head-mounted display, users can levitate in a virtual world by doing meditation exercises. The system measures users' brain activity in real time via EEG and calculates estimates for the level of conCentration and relaxation. These values are then mapped into the virtual reality. In a user study of 43 subjects, we were able to show that the RelaWorld system elicits deeper relaxation, feeling of presence and a deeper level of meditation when compared to a similar setup without head-mounted display or neurofeedback.",Neurofeedback; Meditation; Virtual reality; Relaxation (psychology); Feeling; Computer science; Human–computer interaction; Electroencephalography; Mindfulness; Psychology; Psychotherapist; Neuroscience,False,conference,True,True,False,doi,,"{'venue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 4, 'heuristic': 1}","X010.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",PASS_CLEAN,,,A2,,"{""A2"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""head-mounted display, users can levitate in a virtual world by doing meditation exercises."", ""quote_valid"": true, ""span"": [39, 64], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
A286,101109tvcg20182873737,"Towards BCI-Based Interfaces for Augmented Reality: Feasibility, Design and Evaluation",Hakim Si-Mohammed; Jimmy Petit; Camille Jeunet; Ferran Argelaguet; Fabien Spindler; Andéol Évain; Nicolas Roussel; Géry Casiez; Anatole Lécuyer,Hakim Si-Mohammed,2018.0,10.1109/tvcg.2018.2873737,https://pubmed.ncbi.nlm.nih.gov/30295623,,,IEEE Transactions on Visualization and Computer Graphics,26,3,1608-1621,Institute of Electrical and Electronics Engineers (IEEE),en,https://doi.org/10.1109/tvcg.2018.2873737,0.9,resolved,openalex,2026-01-22T21:49:56Z,X010,"Brain-Computer Interfaces (BCIs) enable users to interact with computers without any dedicated movement, bringing new hands-free interaction paradigms. In this paper we study the combination of BCI and Augmented Reality (AR). We first tested the feasibility of using BCI in AR settings based on Optical See-Through Head-Mounted Displays (OST-HMDs). Experimental results showed that a BCI and an OST-HMD equipment (EEG headset and Hololens in our case) are well compatible and that small movements of the head can be tolerated when using the BCI. Second, we introduced a design space for command display strategies based on BCI in AR, when exploiting a famous brain pattern called Steady-State Visually Evoked Potential (SSVEP). Our design space relies on five dimensions concerning the visual layout of the BCI menu; namely: orientation, frame-of-reference, anchorage, size and explicitness. We implemented various BCI-based display strategies and tested them within the context of mobile robot control in AR. Our findings were finally integrated within an operational prototype based on a real mobile robot that is controlled in AR using a BCI and a HoloLens headset. Taken together our results (4 user studies) and our methodology could pave the way to future interaction schemes in Augmented Reality exploiting 3D User Interfaces based on brain activity and BCIs.",Headset; Brain–computer interface; Computer science; Augmented reality; Human–computer interaction; Context (archaeology); Headphones; Visualization; Optical head-mounted display; Interface (matter); Virtual reality; Artificial intelligence,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X010.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",REVIEW,,,,A2,"{""A2"": {""status"": ""UNCERTAIN"", ""decision"": ""not_meet"", ""confidence"": 0.5, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",REVIEW: uncertain A2
A289,1052200005939400430053,NeuRow: An Immersive VR Environment for Motor-Imagery Training with the Use of Brain-Computer Interfaces and Vibrotactile Feedback,Athanasios Vourvopoulos; André Ferreira; Sergi Bermúdez i Badia,Athanasios Vourvopoulos,2016.0,10.5220/0005939400430053,,,,Proceedings of the 3rd International Conference on Physiological Computing Systems,,,,SCITEPRESS - Science and Technology Publications,en,https://doi.org/10.5220/0005939400430053,0.9,resolved,openalex,2026-01-22T21:49:57Z,X010,"Motor-Imagery offers a solid foundation for the development of Brain-Computer Interfaces (BCIs), capable of direct brain-to-computer communication but also effective in alleviating neurological impairments. The fusion of BCIs with Virtual Reality (VR) allowed the enhancement of the field of virtual rehabilitation by including patients with low-level of motor control with limited access to treatment. BCI-VR technology has pushed research towards finding new solutions for better and reliable BCI control. Based on our previous work, we have developed NeuRow, a novel multiplatform prototype that makes use of multimodal feedback in an immersive VR environment delivered through a state-of-the-art Head Mounted Display (HMD). In this article we present the system design and development, including important features for creating a closed neurofeedback loop in an implicit manner, and preliminary data on user performance and user acceptance of",Brain–computer interface; Computer science; Motor imagery; Training (meteorology); Human–computer interaction; Virtual reality; Multimedia; Electroencephalography; Psychology; Neuroscience; Physics; Meteorology,True,conference,True,True,True,doi,,"{'venue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'abstract': 'semanticscholar', 'lang': 'heuristic'}","{'crossref': 3, 'semanticscholar': 1, 'heuristic': 1}","X010.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:HE; abstract:SE | missing:-",PASS_CLEAN,,,A2,,"{""A2"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""Virtual Reality (VR) environment delivered through a state-of-the-art Head Mounted Display (HMD)."", ""quote_valid"": false, ""span"": [53, 76], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
