arm,kind,criteria,validator_errors,linter_findings,landings_match,landings_total,eh_out,ih_out,records_at_el,el_llm_criteria,il_llm_criteria,guard_ok_batch5,guard_worst_est_plus_reserve_batch5,calls_batch5,calls_batch1,wall_clock_min_batch5
h0_baseline,free_text,8,0,0,8,8,40,391,32,2,1,True,2642,21,96,3.1
h1_paraphrase,free_text,8,0,2,8,8,40,391,32,2,1,True,2643,21,96,3.1
h2_polarity,free_text,6,0,0,6,6,2,449,12,2,2,True,1814,12,48,1.8
h3_stage_stress,free_text,8,0,1,8,8,65,282,116,1,1,True,2516,48,232,7.0
h4_edge_shapes,harmonized_csv,9,0,1,9,9,12,382,69,2,2,True,2997,56,276,8.2
h5_adversarial,harmonized_csv,5,0,0,5,5,23,411,29,2,1,True,2678,18,87,2.6
h6_no_abstract,harmonized_csv,3,0,0,3,3,0,324,139,1,1,True,2600,56,278,8.2
h7_loose,harmonized_csv,7,0,0,7,7,40,234,189,2,1,True,2682,114,567,16.7
h8_pinned_target,harmonized_csv,8,0,0,8,8,40,391,32,2,1,True,2646,21,96,3.1
h9_batch1,free_text,8,0,0,8,8,40,391,32,2,1,True,2642,21,96,3.1
TOTAL,,,,,,,,,,,,,,388,1872,53.8
