local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,il_outcome,il_failed_ids,il_missing_ids,il_met_ids,il_uncertain_ids,il_evidence_json,il_reason_summary
A014,101097jcp0b013e31818a6d25,Influence of Olanzapine on QT Variability and Complexity Measures of Heart Rate in Patients With Schizophrenia,Karl‐Jürgen Bär; Mandy Koschke; Sandy Berger; Steffen Schulz; Manuel E. Tancer; Andreas Voss; Vikram K. Yeragani,Karl‐Jürgen Bär,2008.0,10.1097/jcp.0b013e31818a6d25,https://pubmed.ncbi.nlm.nih.gov/19011440,,,Journal of Clinical Psychopharmacology,28,6,694-698,Ovid Technologies (Wolters Kluwer Health),en,https://doi.org/10.1097/jcp.0b013e31818a6d25,0.9,resolved,openalex,2026-08-16T22:28:36Z,X001,"Previous studies have shown that untreated patients with acute schizophrenia present with reduced heart rate variability and complexity as well as increased QT variability. This autonomic dysregulation might contribute to increased cardiac morbidity and mortality in these patients. However, the additional effects of newer antipsychotics on autonomic dysfunction have not been investigated, applying these new cardiac parameters to gain information about the regulation at sinus node level as well as the susceptibility to arrhythmias. We have investigated 15 patients with acute schizophrenia before and after established olanzapine treatment and compared them with matched controls. New nonlinear parameters (approximate entropy, compression entropy, fractal dimension) of heart rate variability and also the QT-variability index were calculated. In accordance with previous results, we have observed reduced complexity of heart rate regulation in untreated patients. Furthermore, the QT-variability index was significantly increased in unmedicated patients, indicating increased repolarization lability. Reduction of the heart rate regulation complexity after olanzapine treatment was seen, as measured by compression entropy of heart rate. No change in QT variability was observed after treatment. This study shows that unmedicated patients with acute schizophrenia experience autonomic dysfunction. Olanzapine treatment seems to have very little additional impact in regard to the QT variability. However, the decrease in heart rate complexity after olanzapine treatment suggests decreased cardiac vagal function, which may increase the risk for cardiac mortality. Further studies are warranted to gain more insight into cardiac regulation in schizophrenia and the effect of novel antipsychotics.",Olanzapine; Heart rate variability; Cardiology; Heart rate; Internal medicine; Medicine; Vagal tone; Schizophrenia (object-oriented programming); Long QT syndrome; Electrocardiography; QT interval; Clozapine,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A052,1011770004867412444624,Mind and heart: Heart rate variability in major depressive disorder and coronary heart disease - a review and recommendations,Nicolas J. C. Stapelberg; Ian Hamilton‐Craig; David L. Neumann; David Shum; Harry McConnell,Nicolas J. C. Stapelberg,2012.0,10.1177/0004867412444624,https://pubmed.ncbi.nlm.nih.gov/22528974,,,Australian &amp; New Zealand Journal of Psychiatry,46,10,946-957,SAGE Publications,en,https://doi.org/10.1177/0004867412444624,0.9,resolved,openalex,2026-08-16T22:29:05Z,X001,"OBJECTIVE: There is a reciprocal association between major depressive disorder (MDD) and coronary heart disease (CHD). These conditions are linked by a causal network of mechanisms. This causal network should be quantitatively studied and it is hypothesised that the investigation of vagal function represents a promising starting point. Heart rate variability (HRV) has been used to investigate cardiac vagal control in the context of MDD and CHD. This review aims to examine the relationship of HRV to both MDD and CHD in the context of vagal function and to make recommendations for clinical practice and research. METHODS: The search terms 'heart rate variability', 'depression' and 'heart disease' were entered into an electronic multiple database search engine. Abstracts were screened for their relevance and articles were individually selected and collated. RESULTS: Decreased HRV is found in both MDD and CHD. Both diseases are theorized to disrupt autonomic control feedback loops on the heart and are linked to vagal function. Existing theories link vagal function to both mood and emotion as well as cardiac function. However, several factors can potentially confound HRV measures and would thus impact on a complete understanding of vagal mechanisms in the link between MDD and CHD. CONCLUSIONS: The quantitative investigation of vagal function using HRV represents a reasonable starting point in the study of the relationship between MDD and CHD. Many psychotropic and cardiac medications have effects on HRV, which may have clinical importance. Future studies of HRV in MDD and CHD should consider antidepressant medication, as well as anxiety, as potential confounders.",Heart rate variability; Context (archaeology); Major depressive disorder; Vagal tone; Confounding; Anxiety; Heart disease; Medicine; Mood; Heart rate; Psychology; Depression (economics),False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A053,101016s0008636397001077,Effect of age on long-term heart rate variability,Vikram K. Yeragani; E. Sobolewski; Jerald Kay; V.C. Jampala; G. Igel,Vikram K. Yeragani,1997.0,10.1016/s0008-6363(97)00107-7,https://pubmed.ncbi.nlm.nih.gov/9302345,,,Cardiovascular Research,35,1,35-42,Oxford University Press (OUP),en,https://doi.org/10.1016/s0008-6363(97)00107-7,0.9,resolved,openalex,2026-08-16T22:29:05Z,X001,"OBJECTIVE: Previous studies on short-term time series of heart rage suggest an inverse relationship between age and spectral powers of heart rate variability in various frequency bands. In this study, we examined the relationship between age (6-61 years) and long-term heart rate variability. METHODS: We obtained 24-h Holter ECG in 33 healthy human subjects (11 children and 22 adults). The heart rate data were analyzed by using spectral analysis and fractal dimensions of the time series. RESULTS: We found a significant negative correlation between age and very low frequency (VLF, 0.0033-0.04 Hz), low frequency (LF, 0.04-0.15 Hz) and high frequency (HF, 0.15-0.5 Hz) powers and fractal dimensions during awake as well as sleep periods, and a positive correlation between age and LF/HF ratios. Age and ultra-low frequency (ULF, < 0.0033 Hz) were modestly and negatively correlated only during the awake period. CONCLUSIONS: Sleep ULF power is not significantly affected by age, whereas VLF, LF and HF powers and fractal dimensions of heart rate significantly decrease with age during awake as well as sleep periods.",Heart rate variability; Cardiology; Heart rate; Internal medicine; Spectral analysis; Medicine; Very low frequency; Correlation; Fractal; Audiology; Physics; Mathematics,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A132,101002cphycp030216,Interactions Between Respiration and Circulation,M. de Burgh Daly,M. de Burgh Daly,1986.0,10.1002/cphy.cp030216,,,,Comprehensive Physiology,,,529-594,Wiley,en,https://doi.org/10.1002/cphy.cp030216,0.9,resolved,openalex,2026-08-16T22:30:13Z,X003,"Abstract The sections in this article are: Spontaneous Respiratory Variations in the Cardiovascular System Arterial Blood Pressure Heart Rate Cardiac Output Systemic Vascular Resistance Pulmonary Hemodynamics Central Nervous Control of Respiration and the Cardiovascular System Receptors and Afferent Pathways Cell Bodies and Efferent Pathways Central Control of Sympathetic Efferent Activity Descending Pathways to Spinal Sympathetic Outflow Central and Local Peripheral Circulatory Control by Blood Gases Central Effects Peripheral Effects Some Reflex Neural Control Mechanisms Arterial Baroreceptors Peripheral Arterial Chemoreceptors Upper Airway Receptors Facial Receptors Cardiopulmonary Receptors Overall Involvement of Cardiopulmonary Receptors Reflex Cardiovascular Effects of Lung Inflation Cardiac Responses Changes in Systemic Vascular Resistance Coronary Circulation Nature of Pulmonary Receptors Mechanisms of Respiratory Modulation Pulmonary Vagal Reflex Central Respiratory Neuronal Activity Hypocapnia Phasic Respiratory Modulation of Reflex Responses Respiration Heart Rate Respiratory Modulation of Specific Inputs to Nervous System Modulation by Hyperventilation Modulation by Reflex Hypoventilation and Apnea Interactions Between Carotid Baroreceptors and Chemoreceptors Respiratory Modulation of Vagal and Sympathetic Efferent Fiber Activity Activity in Cardiac Vagal Efferent Fibers Activity in Sympathetic Efferent Nerves Mechanisms of Central Integration Respiratory Sinus Arrhythmia Mechanisms Some Examples of Respiratory‐Circulatory Integrative Control Effects of Deep Breath Valsalva Maneuver Acute Hypoxia Hypocapnia Hypercapnia Asphyxia and Breath Holding Breath‐Hold Diving Effects of Changes in the Cardiovascular System on Respiration Respiration, Metabolism, and Cardiac Output Hemorrhagic Hypotension Medical Implications of Respiratory‐Cardiovascular Interactions Diving Response Protective Effects of Defense Mechanisms Exaggerated Defense Responses Restoration of Normal Cardiac Rhythm Sudden Infant Death Syndrome",Hypocapnia; Baroreceptor; Medicine; Reflex; Respiratory system; Anesthesia; Heart rate; Internal medicine; Blood pressure; Hypercapnia,False,other,True,True,False,doi,,"{'venue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 5},"X003.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A187,10103710892680103229,Heart Rate Variability as an Index of Regulated Emotional Responding,Bradley M. Appelhans; Linda J. Luecken,Bradley M. Appelhans,2006.0,10.1037/1089-2680.10.3.229,,,,Review of General Psychology,10,3,229-240,SAGE Publications,en,https://doi.org/10.1037/1089-2680.10.3.229,0.9,resolved,openalex,2026-08-16T22:30:46Z,"X006,X008,X013","The study of individual differences in emotional responding can provide considerable insight into interpersonal dynamics and the etiology of psychopathology. Heart rate variability (HRV) analysis is emerging as an objective measure of regulated emotional responding (generating emotional responses of appropriate timing and magnitude). This review provides a theoretical and empirical rationale for the use of HRV as an index of individual differences in regulated emotional responding. Two major theoretical frameworks that articulate the role of HRV in emotional responding are presented, and relevant empirical literature is reviewed. The case is made that HRV is an accessible research tool that can increase the understanding of emotion in social and psychopathological processes.",Psychology; Heart rate variability; Psychopathology; Interpersonal communication; Emotional regulation; Psychophysiology; Empirical research; Index (typography); Cognitive psychology; Developmental psychology; Heart rate; Social psychology,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,IC-1,,"{""IC-1"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Heart Rate Variability as an Index of Regulated Emotional Responding"", ""quote_valid"": true, ""span"": [0, 36], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
A199,101016jjpain201301010,Conditioned Pain Modulation in Children and Adolescents: Effects of Sex and Age,Jennie C.I. Tsao; Laura C. Seidman; Subhadra Evans; Kirsten Lung; Lonnie K. Zeltzer; Bruce D. Naliboff,Jennie C.I. Tsao,2013.0,10.1016/j.jpain.2013.01.010,https://pubmed.ncbi.nlm.nih.gov/23541066,,,The Journal of Pain,14,6,558-567,Elsevier BV,en,https://doi.org/10.1016/j.jpain.2013.01.010,0.9,resolved,openalex,2026-08-16T22:31:03Z,X006,"Conditioned pain modulation (CPM) refers to the diminution of perceived pain intensity for a test stimulus following application of a conditioning stimulus to a remote area of the body, and is thought to reflect the descending inhibition of nociceptive signals. Studying CPM in children may inform interventions to enhance central pain inhibition within a developmental framework. We assessed CPM in 133 healthy children (mean age = 13 years; 52.6% girls) and tested the effects of sex and age. Participants were exposed to four trials of a pressure test stimulus before, during, and after the application of a cold water conditioning stimulus. CPM was documented by a reduction in pressure pain ratings during cold water administration. Older children (12–17 years) exhibited greater CPM than younger (8–11 years) children. No sex differences in CPM were found. Lower heart rate variability (HRV) at baseline and after pain induction was associated with less CPM controlling for child age. The findings of greater CPM in the older age cohort suggest a developmental improvement in central pain inhibitory mechanisms. The results highlight the need to examine developmental and contributory factors in central pain inhibitory mechanisms in children to guide effective, age appropriate, pain interventions.",Medicine; Stimulus (psychology); Psychological intervention; Cold pressor test; Heart rate; Chronic pain; Nociception; Conditioning; Audiology; Physical therapy; Blood pressure; Psychology,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A201,101016jjpain201202007,Autonomic Nervous System Function in Young Children With Functional Abdominal Pain or Irritable Bowel Syndrome,Monica Jarrett; Margaret Heitkemper; Danita I. Czyzewski; Lonnie K. Zeltzer; Robert J. Shulman,Monica Jarrett,2012.0,10.1016/j.jpain.2012.02.007,https://pubmed.ncbi.nlm.nih.gov/22520688,,,The Journal of Pain,13,5,477-484,Elsevier BV,en,https://doi.org/10.1016/j.jpain.2012.02.007,0.9,resolved,openalex,2026-08-16T22:31:05Z,X006,"Adults with irritable bowel syndrome (IBS) have been reported to have alterations in autonomic nervous system function as measured by vagal activity via heart rate variability. Whether the same is true for children is unknown. We compared young children 7 to 10 years of age with functional abdominal pain (FAP) or IBS to healthy children (HC) and explored the relationship of vagal activity and sympathovagal balance to psychological distress and stool type. Children completed questionnaires, kept a 2-week pain/stool diary, and wore a 24-hour Holter monitor to assess vagal activity. Group comparisons on vagal activity were controlled for age and body mass index. Indicators of vagal activity and sympathovagal balance did not differ between FAP/IBS children (70 girls, 30 boys) and HC (44 girls, 18 boys). Psychological distress measures were generally higher in FAP/IBS than HC, primarily in girls. Exploratory analyses suggest a potential negative correlation between vagal activity and psychological distress in FAP/IBS girls but not boys. In contrast to reports in women, no differences were found in vagal activity between FAP/IBS and HC. Preliminary findings suggest that in girls with FAP/IBS there is an inverse relationship between vagal activity and psychological distress. Perspective The results from this study suggest a possible relationship between emotional state and vagal activity in prepubertal girls (but not boys) with FAP/IBS. Age and/or duration of symptoms may explain our contrasting findings versus adults with IBS.",Irritable bowel syndrome; Medicine; Vagal tone; Autonomic nervous system; Heart rate variability; Abdominal pain; Distress; Balance (ability); Internal medicine; Visceral pain; Heart rate; Physical therapy,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A203,101016jjpsychores200902007,Autonomic activity and somatic symptoms in response to success vs. failure on a cognitive task: A comparison of chronic abdominal pain patients and well children,Martina Puzanovova; Patrick G. Arbogast; Craig A. Smith; Julia Anderson; André Diedrich; Lynn S. Walker,Martina Puzanovova,2009.0,10.1016/j.jpsychores.2009.02.007,https://pubmed.ncbi.nlm.nih.gov/19686879,,,Journal of Psychosomatic Research,67,3,235-243,Elsevier BV,en,https://doi.org/10.1016/j.jpsychores.2009.02.007,0.9,resolved,openalex,2026-08-16T22:31:06Z,X006,"Objectives To compare autonomic nervous system (ANS) activity and somatic symptoms in chronic abdominal pain (CAP) patients and well children during (a) resting baseline, (b) training in a cognitive task, and (c) random assignment to success vs. failure on the task. Methods The ECG was continuously recorded with a dual lead system (Biopac) in 45 CAP patients and 22 well children, ages 9–16 years (mean age = 12.3). Heart rate variability (HRV) was analyzed during the 5 minute resting baseline, training, and success/failure on the task. Performance expectations were assessed before the task. Gastrointestinal (GI) and non-GI somatic symptoms were assessed before and after the task. Results Compared to well children, CAP patients reported lower expectations for their task performance and higher GI symptoms (p’s < 0.05). During success, CAP patients exhibited significant increases in both sympathetic (p < 0.05) and parasympathetic (p < 0.05) activity whereas well children exhibited no change in ANS activity. During failure, CAP patients exhibited significant increases in somatic symptoms (< 0.05) but no change in ANS activity. Conclusions The lower performance expectations of CAP patients compared to well children may have influenced their experience of success and contributed to differences in their autonomic activity.",Autonomic nervous system; Heart rate variability; Medicine; Somatic cell; Cognition; Internal medicine; Abdominal pain; Task (project management); Heart failure; Cardiology; Audiology; Heart rate,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 7, 'semanticscholar': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A216,101007s1048401091288,Restoration of Vagal Tone: A Possible Mechanism for Functional Abdominal Pain,Erik Sowder; Richard Gevirtz; Warren L. Shapiro; Crystal Ebert,Erik Sowder,2010.0,10.1007/s10484-010-9128-8,https://pubmed.ncbi.nlm.nih.gov/20229150,,,Applied Psychophysiology and Biofeedback,35,3,199-206,Springer Science and Business Media LLC,en,https://doi.org/10.1007/s10484-010-9128-8,0.9,resolved,openalex,2026-08-16T22:31:15Z,X006,"Functional abdominal pain (FAP) causes disruption of daily activities/missed school days, over utilization of healthcare, unnecessary surgeries, and anxiety in 10–15% of children. Its etiology is not clearly understood, however the success of several clinical protocols suggests that autonomic dysregulation is a factor. In this study autonomic activity, including heart rate variability (HRV), was compared between children with FAP and a comparison group. Twenty children with FAP and 10 children without FAP between the ages of 5 and 17&nbsp;years old were compared on autonomic regulation using an ambulatory system at baseline and 8&nbsp;weeks later. Children with FAP participated in 6 sessions of HRV biofeedback aimed at normalizing autonomic balance. At baseline, children with FAP appear to have more autonomic dysregulation than children without FAP. After completing HRV biofeedback, the FAP group was able to significantly reduce their symptoms in relation to significantly increasing their autonomic balance. In a sample of children with FAP, it appears that HRV biofeedback treatment improved their symptoms and that a change in vagal tone was a potential mediator for this improvement. The present study appears to point to excessive vagal withdrawal as an underlying mechanism of FAP.",Heart rate variability; Biofeedback; Medicine; Vagal tone; Autonomic nervous system; Ambulatory; Anxiety; Heart rate; Balance (ability); Anesthesia; Abdominal pain; Internal medicine,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X006.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A217,101111j16512227200801096x,Playing a violent television game affects heart rate variability,Malena Ivarsson; Martin Anderson; Torbjörn Åkerstedt; Frank Lindblad,Malena Ivarsson,2008.0,10.1111/j.1651-2227.2008.01096.x,https://pubmed.ncbi.nlm.nih.gov/19006532,,,Acta Paediatrica,98,1,166-172,Wiley,en,https://doi.org/10.1111/j.1651-2227.2008.01096.x,0.9,resolved,openalex,2026-08-16T22:31:17Z,X006,"OBJECTIVE: To investigate how playing a violent/nonviolent television game during the evening affects sympathetic and parasympathetic reactions during and after playing as well as sleep quality during the night after playing. SUBJECTS AND METHODS: In total, 19 boys, 12-15 years of age, played television games on two occasions in their homes and participated once without gaming. Heart rate, heart rate variability (HRV) and physical activity were measured during gaming/participating and the night to follow using a portable combined heart rate and movement sensor. A sleep diary and questionnaires about gaming experiences and session-specific experiences were filled in. Criteria for Selection of Games: Violent game involves/rewards direct physical violence (no handguns) against another person, and nonviolent game involves/rewards no violence; same game design ('third-person game'); conducted in the same manner; no differences concerning motor activity; similar sound and light effects; no sexual content, violence against women or racial overtones. RESULTS: During violent (vs. nonviolent) gaming, there was significantly higher activity of the very low frequency component of the HRV and total power. During the night after playing, very low frequency, low frequency and high frequency components were significantly higher during the violent (vs. nonviolent) condition, just as total power. There were no significant differences between the three conditions (violent/nonviolent/no gaming) with respect to an index reflecting subjectively perceived sleep difficulties. Nor was there any difference between violent and nonviolent condition for any single sleep item. CONCLUSION: Violent gaming induces different autonomic responses in boys compared to nonviolent gaming--during playing and during the following night--suggesting different emotional responses. Subjectively perceived sleep quality is not influenced after a single gaming experience. Future studies should address the development of the autonomic balance after gaming over longer time than a night, physiological adaptation to frequent gaming and potential gender differences.",Medicine; Video game; Poison control; Injury prevention; Suicide prevention; Human factors and ergonomics; Medical emergency; Multimedia; Computer science,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A218,101017s146114570100236x,Enhanced stress reactivity in paediatric anxiety disorders: implications for future cardiovascular health,Catherine Monk; Pavel Kovelenko; Lauren M. Ellman; Richard P. Sloan; Emilia Bagiella; Jack M. Gorman; Daniel S. Pine,Catherine Monk,2001.0,10.1017/s146114570100236x,https://pubmed.ncbi.nlm.nih.gov/11468091,,,The International Journal of Neuropsychopharmacology,4,02,,Oxford University Press (OUP),en,https://doi.org/10.1017/s146114570100236x,0.9,resolved,openalex,2026-08-16T22:31:18Z,"X006,X013","The aim was to clarify the developmental nature of associations between psychiatric illness and risk for cardiovascular disease by investigating differences in cardiac functioning between youth with anxiety disorders and healthy controls. Twenty-two children meeting DSM-IV criteria for either separation anxiety disorder, overanxious disorder, panic disorder/panic attacks, or social phobia and 12 healthy controls underwent continuous electrocardiogram and respiration rate monitoring during a 15 min baseline period and 15 min of exposure to 5% CO(2). Heart rate (HR) and high frequency heart rate variability (HRV), a non-invasive measure of cardiac parasympathetic control, were calculated. Youth with anxiety disorders had higher and less fluctuating HR during baseline. Data also suggested that probands showed diminished overall changes in HRV during baseline and CO(2) inhalation relative to controls. However, as respiration rate affects HRV, these findings were confounded by changes in respiration elicited by CO(2) inhalation. The data suggest that youth with anxiety disorders experience an elevated and less fluctuating HR in the face of a novel situation, possibly due to a failure to appropriately modulate HRV. In adults, sustained elevations in HR in conjunction with deficient vagal modulation predicts risk for future cardiovascular disease. As such, the current data suggest that the presence of an anxiety disorder may identify youth who exhibit autonomic profiles that place them at risk for cardiac disease.",Anxiety; Heart rate variability; Panic disorder; Heart rate; Vagal tone; Psychology; Depression (economics); Internal medicine; Medicine; Disease; Anxiety disorder; Panic,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 6},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-1"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-1 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
