local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,il_outcome,il_failed_ids,il_missing_ids,il_met_ids,il_uncertain_ids,il_evidence_json,il_reason_summary
A070,101590s141432832001000100016,Pedagogia da indignação: cartas pedagógicas e outros escritos,Ana María Araújo Freire,Ana María Araújo Freire,2001.0,10.1590/s1414-32832001000100016,,,,"Interface - Comunicação, Saúde, Educação",5,8,147-152,FapUNIFESP (SciELO),pt,https://doi.org/10.1590/s1414-32832001000100016,0.9,resolved,openalex,2026-08-16T22:29:28Z,X002,,Humanities; Art; Philosophy,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:HE | missing:abstract",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Pedagogia da indignação: cartas pedagógicas e outros escritos"", ""quote_valid"": true, ""span"": [0, 32], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A071,pedagogiadaesperanaumreencontrocomapedagogiadooprimido,Pedagogia da esperança: um reencontro com a pedagogia do oprimido,Paulo Freiré,Paulo Freiré,1992.0,https://openalex.org/W1135037909,,,,,,,,,pt,,0.9,resolved,openalex,2026-08-16T22:29:43Z,X002,,Philosophy,True,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:abstract,EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Pedagogia da esperança: um reencontro com a pedagogia do oprimido"", ""quote_valid"": true, ""span"": [0, 45], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A081,105007217579412012v29nesp1p562,Simulações computacionais como ferramentas para o ensino de conceitos básicos de Eletricidade,Josué Antunes de Macêdo; Adriana Gomes Dickman; Isabela Silva Faleiro de Andrade,Josué Antunes de Macêdo,2012.0,10.5007/2175-7941.2012v29nesp1p562,,,,Caderno Brasileiro de Ensino de Física,29,0,,Universidade Federal de Santa Catarina (UFSC),pt,https://doi.org/10.5007/2175-7941.2012v29nesp1p562,0.9,resolved,openalex,2026-08-16T22:29:51Z,X002,"Neste trabalho é relatado o processo de elaboração e aplicação de um Roteiro de Atividades, dirigido a professores do Ensino Médio, no qual são utilizadas simulações computacionais para o ensino de temas selecionados de Eletromagnetismo. As atividades foram desenvolvidas com base nos momentos pedagógicos de Delizoicov: Problematização inicial, Organização do conhecimento e Aplicação do conhecimento. O Roteiro de Atividades é constituído por treze atividades sobre Circuitos simples e oito atividades sobre Ímãs, Corrente elétrica e Indução eletromagnética. As atividades utilizam as simulações Kit para Construção de Circuitos (KCC) e Laboratório de Eletromagnetismo, ambas desenvolvidas pelo projeto Tecnologia no Ensino de Física (PhET) da Universidade do Colorado e disponíveis gratuitamente online. O roteiro desenvolvido para introduzir o tópico “Condutores e isolantes” foi aplicado a uma turma do terceiro ano do Ensino Médio. A partir da análise dos dados, obtidos por meio da aplicação de um questionário pré e pós-teste, conclui-se que a aula baseada no simulador computacional promoveu uma mudança conceitual nos alunos, permitindo a assimilação das diferenças básicas entre materiais que são condutores ou isolantes.",Humanities; Physics; Computer science; Philosophy,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 5, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,,,"{""IC-21"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.6, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-21, IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A084,101590s198177462003000100014,Documentos de identidade; uma introdução às teorias do currículo,Angélica Ferreira Fonseca,Angélica Ferreira Fonseca,2003.0,10.1590/s1981-77462003000100014,,,,"Trabalho, Educação e Saúde",1,1,167-168,FapUNIFESP (SciELO),pt,https://doi.org/10.1590/s1981-77462003000100014,0.9,resolved,openalex,2026-08-16T22:29:53Z,X002,"Resenha do livro “SILVA, Tomaz Tadeu da. Documentos de identidade: uma introdução às teorias do currículo. Belo Horizonte: Editora Autêntica, 1999, 156 p.”, elaborado Angélica Ferreira Fonseca.",Humanities; Philosophy,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Documentos de identidade; uma introdução às teorias do currículo"", ""quote_valid"": true, ""span"": [0, 45], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A086,aconstruodopensamentoedalinguagem,A construção do pensamento e da linguagem,Zilma de Moraes Ramos de Oliveira; Ana Maria Lisboa de Mello; Telma Vitória; Maria Clotilde T. Rossetti-Ferreira,Zilma de Moraes Ramos de Oliveira,2011.0,https://openalex.org/W3121294523,,,,,,,,,pt,,0.9,resolved,openalex,2026-08-16T22:29:53Z,X002,,Philosophy; Humanities; Computer science,False,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:abstract,EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""A construção do pensamento e da linguagem"", ""quote_valid"": true, ""span"": [0, 36], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A094,1026512rpfv2i212315,TEORIAS DA APRENDIZAGEM E DA EDUCAÇÃO COMO REFERENCIAIS EM PRÁTICAS DE ENSINO: AUSUBEL E LIPMAN,Olavo Leopoldino da Silva Filho; Marcello Ferreira,Olavo Leopoldino da Silva Filho,2018.0,10.26512/rpf.v2i2.12315,,,,Revista do Professor de Física,2,2,,Biblioteca Central da UNB,pt,https://doi.org/10.26512/rpf.v2i2.12315,0.9,resolved,openalex,2026-08-16T22:29:57Z,X002,"Os Mestrados Proﬁssionais - especialmente aqueles na área de Ensino e, em particular, o Mestrado Nacional Proﬁssional em Ensino de Física (MNPEF) - têm feito, em suas dissertações, amplo uso de referenciais teóricos que possam dar consistência aos produtos educacionais que são confeccionados como exigência para a conclusão do curso. Entretanto, de modo geral, esses referenciais teóricos raramente são considerados de maneira estrita nos próprios trabalhos, sendo, algumas vezes, até mesmo impossível divisá-los nas metodologias e nas sequências didáticas que lhes dão forma. Esse fenômeno pode estar associado ao fato de que muitos desses referenciais teóricos são calcados em Teorias de Aprendizagem, desenvolvidas no âmbito da Psicologia da Educação, estando, assim, estruturalmente muito amplos e distantes da prática de sala de aula, que são o foco dos produtos educacionais. Neste trabalho, revisamos essa questão, propondo que qualquer Teoria de Aprendizagem deve ser acompanhada de uma Teoria da Educação, de modo a fazer as necessárias conexões com a sala de aula. Como estudo de caso, é apresentada uma relação entre uma Teoria de Aprendizagem, desenvolvida por David Ausubel, e uma Teoria da Educação, desenvolvida por Mathew Lipman, mostrando suas interconexões e como uma articulação entre ambas pode gerar um referencial teórico muito mais robusto e concretizável.",Humanities; Philosophy,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 5, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""TEORIAS DA APRENDIZAGEM E DA EDUCAÇÃO COMO REFERENCIAIS EM PRÁTICAS DE ENSINO: AUSUBEL E LIPMAN"", ""quote_valid"": true, ""span"": [0, 59], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A095,10159018069126rbef20200057,"Unidade de Ensino Potencialmente Significativa sobre óptica geométrica apoiada por vídeos, aplicativos e jogos para smartphones",Marcello Ferreira; Olavo Leopoldino da Silva Filho; Marco Antônio Moreira; Gustavo B. Franz; Khalil Oliveira Portugal; Danielle Xábregas Pamplona Nogueira,Marcello Ferreira,2020.0,10.1590/1806-9126-rbef-2020-0057,,,,Revista Brasileira de Ensino de Física,42,,,FapUNIFESP (SciELO),pt,https://doi.org/10.1590/1806-9126-rbef-2020-0057,0.9,resolved,openalex,2026-08-16T22:29:57Z,X002,"Resumo O perfil dos estudantes na era da cultura digital mudou drasticamente, promovendo deslocamento de elementos que possibilitam o engajamento ao ensino adotado. Entretanto, mantém-se a necessidade de se buscar a aprendizagem significativa, capaz de superar a aprendizagem mecânica que grassa pelo sistema educacional brasileiro. Para isso, é necessário articular elementos e procedimentos tanto das Tecnologias Digitais de Informação e Comunicação quanto das estratégias ativas que fomentem aprendizagem significativa. Neste trabalho, é apresentada, discutida e avaliada uma sequência didática sobre óptica geométrica que abrange grande parte do conteúdo usualmente apresentado no Ensino Médio. Faz-se uso de vídeos, aplicativos e jogos para smartphones, modulados por uma Unidade de Ensino Potencialmente Significativas (UEPS), articulando aprendizagem significativa no contexto concreto da construção de um material instrucional. Também são referenciados mecanismos e estratégias que podem incorporar metodologias ativas no contexto da UEPS. A sequência didática foi aplicada a um conjunto de alunos do Ensino Médio e os resultados são apresentados, juntamente à análise reflexiva da aplicação e a sugestões de aprimoramento. De maneira geral, a UEPS produziu diversos indícios de aprendizagem significativa e acredita-se que, a partir das sugestões de aprimoramento, é capaz de possibilitar mais episódios de aprendizagem significativa nos estudantes.",Humanities; Physics; Philosophy; Psychology,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 4, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Unidade de Ensino Potencialmente Significativa sobre óptica geométrica apoiada por vídeos, aplicativos e jogos para smartphones"", ""quote_valid"": true, ""span"": [0, 85], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A098,105007217579412016v33n1p92,"A interdisciplinaridade na legislação educacional, no discurso acadêmico e na prática escolar do ensino médio: panaceia ou falácia educacional?",Erika Regina Mozena; Fernanda Ostermann,Erika Regina Mozena,2016.0,10.5007/2175-7941.2016v33n1p92,,,,Caderno Brasileiro de Ensino de Física,33,1,92,Universidade Federal de Santa Catarina (UFSC),pt,https://doi.org/10.5007/2175-7941.2016v33n1p92,0.9,resolved,openalex,2026-08-16T22:29:58Z,X002,"http://dx.doi.org/10.5007/2175-7941.2016v33n1p92O discurso da interdisciplinaridade no Brasil tem sido apropriado por grande parte da legislação educacional desde a década de 70 com o sentido de responsabilizá-la por elevar a educação a patamares superiores de qualidade. Na mesma direção, crescem vertiginosamente os trabalhos de pesquisa na área de educação, que apontam a importância da interdisciplinaridade no contexto atual. Por outro lado, tanto esses documentos legais como os meios acadêmicos outorgam ao professor o papel de desenvolver e implementar a interdisciplinaridade na sala de aula. O que se observa em trabalhos de pesquisa que investigam a prática dos professores é que estes se contentam em empreender projetos que julgam interdisciplinares, mas que em sua grande maioria não passam de multidisciplinares, apoiados no senso comum. Este quadro coloca o discurso da interdisciplinaridade com feições de uma falácia educacional. Este trabalho discute a insistência histórica da legislação e do meio acadêmico em tornar este discurso um grande objeto do desejo educacional. Já com relação aos professores, procura localizar as razões pelas quais eles não se aprofundam nessa prática além do senso comum, análise apoiada na epistemologia da prática docente como pensada por Tardif e Lessard, que justifica as ações dos professores com base nas características intrínsecas das situações do trabalho interativo.",Humanities; Sociology; Philosophy,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""A interdisciplinaridade na legislação educacional, no discurso acadêmico e na prática escolar do ensino médio: panaceia ou falácia educacional?"", ""quote_valid"": true, ""span"": [0, 89], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A102,101822621784612v23n110,A PERSPECTIVA DA ALTERIDADE NA EDUCAÇÃO,Adilson Cristiano Habowski; Elaine Conte; Natália de Borba Pugens,Adilson Cristiano Habowski,2018.0,10.18226/21784612.v23.n1.10,,,,Conjectura filosofia e educação,23,1,179-197,Universidade Caixias do Sul,pt,https://doi.org/10.18226/21784612.v23.n1.10,0.9,resolved,openalex,2026-08-16T22:30:00Z,X002,"inacabamentos, esclarecendo posições dogmáticas e compartilhando o respeito",Sociology,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",EXCLUSION_SUPPRESSED,,,IC-21,,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.6, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""A PERSPECTIVA DA ALTERIDADE NA EDUCAÇÃO"", ""quote_valid"": true, ""span"": [0, 42], ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A103,amodelagemcientficadefenmenosfsicoseoensinodefsica,A modelagem científica de fenômenos físicos e o ensino de física,Rafael Vasques Brandão; Ives Solano Araújo; Eliane Ângela Veit,Rafael Vasques Brandão,2008.0,https://openalex.org/W2579596707,,,,,,,,,pt,,0.9,resolved,openalex,2026-08-16T22:30:01Z,X002,,Physics,True,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:abstract,EXCLUSION_SUPPRESSED,,,,IC-21,"{""IC-21"": {""status"": ""UNCERTAIN"", ""decision"": ""not_meet"", ""confidence"": 0.5, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""IC-22"": {""status"": ""SUPPRESSED"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}","EXCLUSION_SUPPRESSED: the model answered not_meet on IC-22 — a removal justified by absence, which is never auto-acted, whatever the provider (flag-only is in force for this provider besides). The record was NOT excluded and needs human review."
A107,conscientizaoteoriaeprticadalibertaoumaintroduoaopensamentodepaulofreire,Conscientização : teoria e prática da libertação : uma introdução ao pensamento de Paulo Freire,Paulo Freiré; Kátia de Mello e Silva,Paulo Freiré,1980.0,https://openalex.org/W3141052539,,,,,,,,,pt,,0.9,resolved,openalex,2026-08-16T22:30:03Z,X002,,Humanities; Philosophy; Sociology,False,book,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:abstract,PASS_CLEAN,,,"IC-21,IC-22",,"{""IC-21"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Conscientização : teoria e prática da libertação : uma introdução ao pensamento de Paulo Freire"", ""quote_valid"": true, ""span"": [0, 65], ""used"": true}, ""IC-22"": {""status"": ""MET"", ""decision"": ""meet"", ""confidence"": 1.0, ""threshold"": 0.6, ""field"": ""title"", ""quote"": ""Conscientização : teoria e prática da libertação : uma introdução ao pensamento de Paulo Freire"", ""quote_valid"": true, ""span"": [0, 65], ""used"": true}}",PASS_CLEAN: all IL criteria MET.
