local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,el_outcome,el_failed_ids,el_missing_ids,el_met_ids,el_uncertain_ids,el_evidence_json,el_reason_summary
A015,101186s129380150063z,Analysis of short-term heart rate and diastolic period variability using a refined fuzzy entropy method,Lizhen Ji; Peng Li; Ke Li; Xinpei Wang; Changchun Liu,Lizhen Ji,2015.0,10.1186/s12938-015-0063-z,https://pubmed.ncbi.nlm.nih.gov/26126807,,,BioMedical Engineering OnLine,14,1,,Springer Science and Business Media LLC,en,https://doi.org/10.1186/s12938-015-0063-z,0.9,resolved,openalex,2026-08-16T22:28:36Z,X001,"BACKGROUND: Heart rate variability (HRV) has been widely used in the non-invasive evaluation of cardiovascular function. Recent studies have also attached great importance to the cardiac diastolic period variability (DPV) examination. Short-term variability measurement (e.g., 5 min) has drawn increasing attention in clinical practice, since it is able to provide almost immediate measurement results and enables the real-time monitoring of cardiovascular function. However, it is still a contemporary challenge to robustly estimate the HRV and DPV parameters based on short-term recordings. METHODS: In this study, a refined fuzzy entropy (rFuzzyEn) was developed by substituting a piecewise fuzzy membership function for the Gaussian function in conventional fuzzy entropy (FuzzyEn) measure. Its stability and robustness against additive noise compared with sample entropy (SampEn) and FuzzyEn, were examined by two well-accepted simulation models-the [Formula: see text] noise and the Logistic attractor. The rFuzzyEn was further applied to evaluate clinical short-term (5 min) HRV and DPV of the patients with coronary artery stenosis and healthy volunteers. RESULTS: Simulation results showed smaller fluctuations in the rFuzzyEn than in SampEn and FuzzyEn values when the data length was decreasing. Besides, rFuzzyEn could distinguish the simulation models with different amount of additive noise even when the percentage of additive noise reached 60%, but neither SampEn nor FuzzyEn showed comparable performance. Clinical HRV analysis did not indicate any significant differences between the patients with coronary artery disease and the healthy volunteers in all the three mentioned entropy measures (all p > 0.20). But clinical DPV analysis showed that the patient group had a significantly higher rFuzzyEn (p < 0.01) than the healthy group. However, no or less significant difference was observed between the two groups in either SampEn (p = 0.14) or FuzzyEn (p = 0.05). CONCLUSIONS: Our proposed rFuzzyEn outperformed conventional SampEn and FuzzyEn in terms of both stability and robustness against additive noise, particularly when the data set was relatively short. Analysis of DPV using rFuzzyEn may provide more valuable information to assess the cardiovascular states than the other entropy measures and has a potential for clinical application.",Sample entropy; Heart rate variability; Approximate entropy; Mathematics; Medicine; Statistics; Piecewise; Coronary artery disease; Cardiology; Fuzzy logic; Entropy (arrow of time); Internal medicine,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 6},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A018,101002gps4273,Clinical significance of worry and physical symptoms in late-life generalized anxiety disorder,Beyon Miloyan; Nancy A. Pachana,Beyon Miloyan,2015.0,10.1002/gps.4273,https://pubmed.ncbi.nlm.nih.gov/25703435,,,International Journal of Geriatric Psychiatry,30,12,1186-1194,Wiley,en,https://doi.org/10.1002/gps.4273,0.9,resolved,openalex,2026-08-16T22:28:37Z,X001,"OBJECTIVE: Worry is a hallmark feature of generalized anxiety disorder (GAD). However, age-related changes in symptom presentation raise questions about the clinical significance of these symptom clusters in later life. The aim of this study was to explore the relative contribution of worry and physical symptom frequency to clinical significance associated with late-life GAD. METHODS: A sample of 637 self-reported worriers (aged 65 years and older) was extracted from Wave 1 of the National Epidemiological Survey of Alcohol and Related Conditions. RESULTS: Consistent with previous findings, we observed reductions in worry frequency and increases in physical symptom frequency with increasing age of participants. Physical symptoms, but not worry symptoms, distinguished older adults with clinical and sub-threshold GAD. Whereas physical symptom count was associated with distress, occupational, and functional disability, worry count was only associated with distress. CONCLUSIONS: Among self-reported worriers, worry frequency provides limited clinical utility over and above physical symptom frequency. These findings suggest that physical symptom frequency may become an increasingly important feature of GAD in later life.",Worry; Generalized anxiety disorder; Anxiety; Distress; Psychology; Psychiatry; Clinical significance; Clinical psychology; Medicine; Internal medicine,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A060,101007s1028601603510,Correlation between indexes of autonomic maneuvers and heart rate variability in hemodialysis patients,Carlos Felipe Delmondes Vieira; Márcia Maria Oliveira Lima; Henrique Silveira Costa; Karen Marina Alves Diniz; João Paulo Lemos Guião; Frederico Lopes Alves; Emílio Henrique Barroso Maciel; Vanessa Gomes Brandão; Pedro Henrique Scheidt Figueiredo,Carlos Felipe Delmondes Vieira,2016.0,10.1007/s10286-016-0351-0,https://pubmed.ncbi.nlm.nih.gov/26979171,,,Clinical Autonomic Research,26,3,181-188,Springer Science and Business Media LLC,en,https://doi.org/10.1007/s10286-016-0351-0,0.9,resolved,openalex,2026-08-16T22:29:15Z,X001,"The autonomic maneuvers are simple methods to evaluate autonomic balance, but the association between autonomic maneuvers and heart rate variability (HRV) in hemodialysis patients remains unknown. This study aimed to evaluate the correlation between HRV and respiratory sinus arrhythmia (RSA) and Valsalva maneuver (VM) indexes in hemodialysis patients and to compare two methods for RSA indexes acquisitions. Forty-eight volunteers on hemodialysis (66.7&nbsp;% men) were evaluated by VM, RSA, and 24&nbsp;h Holter monitoring. At the VM, the Valsalva index (VI) was the variable considered. In the RSA, the ratio and difference between the RR intervals of inspiratory and expiratory phase (E:I and E–I, respectively) were considered by traditional form (average of respiratory cycles) and independent respiratory cycles (E:Iindep and E–Iindep). The HRV indexes evaluated were standard deviation of all normal RR intervals (SDNN), standard deviation of sequential 5-min RR interval means (SDANN), root mean square of the successive differences (rMSSD) and percentage of adjacent RR intervals with difference of duration greater than 50&nbsp;ms (pNN50). The SDNN, SDANN showed significant correlation with all classic indexes of RSA (E:I: r&nbsp;=&nbsp;0.62, 0.55, respectively, E–I: r&nbsp;=&nbsp;0.64, 0.57, respectively), E:Iindep (r&nbsp;=&nbsp;0.59, 0.54, respectively), E–Iindep (r&nbsp;=&nbsp;0.47, 0.43, respectively) and VI (r&nbsp;=&nbsp;0.42, 0.34, respectively). Significant correlation of rMSSD with E:I (r&nbsp;=&nbsp;0.37), E–I (r&nbsp;=&nbsp;0.41) and E:Iindep (r&nbsp;=&nbsp;0.34) was also observed. There was no association of any variable with pNN50. Have been show high values for all variables of independent cycles method (p&nbsp;&lt;&nbsp;0.05). The autonomic maneuvers, especially RSA, are useful methods to evaluate cardiac autonomic function in hemodialysis patients. The acquisition of the RSA index by independent cycles should not be used in this population.",Medicine; Heart rate variability; Correlation; Cardiology; Internal medicine; Hemodialysis; RR interval; Vagal tone; Respiratory system; Heart rate; Anesthesia; Mathematics,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X001.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A061,101176appibooks9780890425787,Diagnostic and Statistical Manual of Mental Disorders,American Psychiatric Association,American Psychiatric Association,2022.0,10.1176/appi.books.9780890425787,,,,,,,,American Psychiatric Association Publishing,en,https://doi.org/10.1176/appi.books.9780890425787,0.9,resolved,openalex,2026-08-16T22:29:20Z,X001,,Classification of mental disorders; Psychology; Diagnostic Classification of Mental Health and Developmental Disorders of Infancy and Early Childhood; Psychiatry; Prevalence of mental disorders; Mental health,False,book,True,True,False,doi,,"{'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'authors': 'crossref', 'first_author': 'crossref'}",{'crossref': 5},"X001.R000 resolved | hits:OA,CR | winner:- | filled:lang:CR | missing:abstract",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A072,101002sdr1571,Learning through System Dynamics as Preparation for the 21st Century,Jay W. Forrester,Jay W. Forrester,2016.0,10.1002/sdr.1571,,,,System Dynamics Review,32,3-4,187-203,Wiley,en,https://doi.org/10.1002/sdr.1571,0.9,resolved,openalex,2026-08-16T22:29:45Z,X002,,Citation; Computer science; Dynamics (music); System dynamics; Operations research; Library science; Artificial intelligence; World Wide Web; Sociology; Engineering; Pedagogy,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:abstract",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A083,systemsengineeringhandbookaguideforsystemlifecycleprocessesandactivities,Systems engineering handbook : a guide for system life cycle processes and activities,David D. Walden,David D. Walden,2015.0,https://openalex.org/W1427890894,,,,,,,,,en,,0.9,resolved,openalex,2026-08-16T22:29:51Z,X002,,Systems engineering; Engineering; Computer science; Engineering management,False,other,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X002.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:abstract,PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A087,1010800953531420191695584,"Hire fast, fire slow: the employment benefits of energy transitions",Yann Füllemann; Vincent Moreau; Marc Vielle; François Vuille,Yann Füllemann,2019.0,10.1080/09535314.2019.1695584,,,,Economic Systems Research,32,2,202-220,Informa UK Limited,en,https://doi.org/10.1080/09535314.2019.1695584,0.9,resolved,openalex,2026-08-16T22:29:55Z,X002,"The transition towards decarbonized and efficient energy systems has broad socio-economic implications. We estimate the potential impacts on employment from efforts in energy efficiency in industry, transport and buildings as well as substituting local renewable energy sources for fossil fuels. Both energy supply and demand are accounted for. We use a hybrid approach that combines national energy transition scenarios with input–output tables, adjusted for new energy and non-energy activities. We conclude that the transition has a net positive impact on employment as illustrated by the case of Switzerland. The local and decentralized nature of energy efficiency and renewables retains a greater share of value-added domestically than does a supply chain of fossil fuels. Moreover, we find that more jobs are created in demand-side activities, such as building renovation, than in renewable energy generation. Positive impacts on jobs from spillover effects in all non-energy activities are also found.",Renewable energy; Energy transition; Spillover effect; Fossil fuel; Natural resource economics; Energy supply; Efficient energy use; Energy engineering; Economics; Energy (signal processing); Energy policy; Environmental economics,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A088,101111gcbb12456,On the global limits of bioenergy and land use for climate change mitigation,Alexandre Strapasson; Jeremy Woods; Helena L. Chum; Nicole Kalas; Nilay Shah; Frank Rosillo‐Calle,Alexandre Strapasson,2017.0,10.1111/gcbb.12456,,,,GCB Bioenergy,9,12,1721-1735,Wiley,en,https://doi.org/10.1111/gcbb.12456,0.9,resolved,openalex,2026-08-16T22:29:55Z,X002,"Abstract Across energy, agricultural and forestry landscapes, the production of biomass for energy has emerged as a controversial driver of land‐use change. We present a novel, simple methodology, to probe the potential global sustainability limits of bioenergy over time for energy provision and climate change mitigation using a complex‐systems approach for assessing land‐use dynamics. Primary biomass that could provide between 70 EJ year −1 and 360 EJ year −1 , globally, by 2050 was simulated in the context of different land‐use futures, food diet patterns and climate change mitigation efforts. Our simulations also show ranges of potential greenhouse gas emissions for agriculture, forestry and other land uses by 2050, including not only above‐ground biomass‐related emissions, but also from changes in soil carbon, from as high as 24 GtCO 2 eq year −1 to as low as minus 21 GtCO 2 eq year −1 , which would represent a significant source of negative emissions. Based on the modelling simulations, the discussions offer novel insights about bioenergy as part of a broader integrated system. Whilst there are sustainability limits to the scale of bioenergy provision, they are dynamic over time, being responsive to land management options deployed worldwide.","Bioenergy; Greenhouse gas; Environmental science; Climate change mitigation; Sustainability; Land use, land-use change and forestry; Biomass (ecology); Climate change; Land use; Agriculture; Context (archaeology); Agroforestry",True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A089,101016jfutures201708003,Mexico’s low carbon futures: An integrated assessment for energy planning and climate change mitigation by 2050,Alejandra Elizondo; Vanessa Pérez-Cirera; Alexandre Strapasson; José Carlos Fernández; Diego Cruz-Cano,Alejandra Elizondo,2017.0,10.1016/j.futures.2017.08.003,,,,Futures,93,,14-26,Elsevier BV,en,https://doi.org/10.1016/j.futures.2017.08.003,0.9,resolved,openalex,2026-08-16T22:29:56Z,X002,"This paper shows an integrated assessment for energy planning and climate change mitigation in Mexico, as an international case study. The Mexico 2050 Calculator was used to run a number of low carbon future scenarios by 2050. The calculator consists of a whole-systems model, which combines the main sectors of the Mexican economy into a single visual tool. By integrating energy and carbon dynamics across all sectors and carrying out a sensitivity analysis of the entire model, we compare four low carbon energy scenarios to assess current energy policy strategies in the country. The methodology proposed in this paper can also be applied to any other nation, particularly to those with similar models already available. Our findings show the relative impact of each sector and their various interactions for achieving Mexico’s ratified climate commitments. The paper also includes policy recommendations and highlights the need for scaling-up energy efficiency policy efforts in industry and transport, for having a higher focus on agricultural and land use policies, and for promoting integrated renewable energy policies.",Futures contract; Renewable energy; Climate change; Scenario analysis; Climate change mitigation; Energy planning; Calculator; Energy sector; Greenhouse gas; Energy policy; Efficient energy use; Agriculture,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 6},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A090,101016jesr2020100545,"EU land use futures: modelling food, bioenergy and carbon dynamics",Alexandre Strapasson; Jeremy Woods; Jérôme Meessen; Onesmus Mwabonje; Gino Baudry; Kofi Mbuk,Alexandre Strapasson,2020.0,10.1016/j.esr.2020.100545,,,,Energy Strategy Reviews,31,,100545,Elsevier BV,en,https://doi.org/10.1016/j.esr.2020.100545,0.9,resolved,openalex,2026-08-16T22:29:56Z,X002,"This paper presents an original system dynamics model, which aims to assess how changes in diet, agricultural practices, bioenergy and forestry could help reduce greenhouse gas emissions. We demonstrate that changes in types and quantities of food consumed and reductions in food wastes along with sustainable bioenergy and forestry dynamics would materially assist the EU in meeting its 2050 climate mitigation obligations. We find that overall rates of EU-28 greenhouse gas emissions are highly sensitive to the food trade balance, both within and outside the EU. Land use itself is often under-represented as a major option for carbon mitigation in policy strategies, but our results show that it must become a central component aligned with energy system decarbonization if material levels of warming mitigation are to be achieved.",Greenhouse gas; Bioenergy; Futures contract; Agriculture; Natural resource economics; Environmental science; Climate change mitigation; Climate change; Land use; Biofuel; Food systems; Agricultural land,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 6},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A091,103390su12030811,The Role of Electricity Balancing and Storage: Developing Input Parameters for the European Calculator for Concept Modeling,Miklós Gyalai‐Korpos; László Zentkó; Csaba Hegyfalvi; Gergely Detzky; P. Tildy; Nóra Hegedűsné Baranyai; Gábor Pintér; Henrik Zsiborács,Miklós Gyalai‐Korpos,2020.0,10.3390/su12030811,,,,Sustainability,12,3,811,MDPI AG,en,https://doi.org/10.3390/su12030811,0.9,resolved,openalex,2026-08-16T22:29:56Z,X002,"Despite the apparent stability of the electricity system from a consumer’s point of view, there is indeed significant effort exerted by network operators to guarantee the constancy of the electricity supply in order to meet demands any time. In the energy sector models provide an important conceptual framework to generate a range of insight, examine the impacts of different scenarios and analyze the supply and demand of energy. This paper presents a user-oriented and transparent modeling concept of the European calculator, a tool for delineating emission and sustainable transformation pathways at European and member state levels. The model consists of several modules of different sectors, where the energy supply module includes sub-modules for electricity generation, hydrogen production and oil refinery. The energy storage requirement module investigates how new technologies can help the stability of the European electricity system with increasing renewables penetration, demand-side measures and decarbonization paths. The objective of this study is to introduce the concept of this module with the main logical steps, especially the input parameters, assumptions, the basic data of electricity trade and maximum energy storage potential levels. The article also introduces and explains the feasibility of the theoretical maximum gross electricity generation potential from variable renewable energy for the European Union including Switzerland, compared to the demand in 2040. According to the results the electricity systems in the future will need to show ever increasing flexibility in order to cope with variable renewable energy production on the supply side, and shifting patterns of electricity consumption on the demand side.",Renewable energy; Electricity; Environmental economics; Mains electricity; Variable renewable energy; Electricity generation; Electricity retailing; Flexibility (engineering); Stand-alone power system; Energy supply; Energy storage; Computer science,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,EC-38,,"{""EC-38"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
