local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes
A001,manualforthestatetraitanxietyinventory,Manual for the State-Trait Anxiety Inventory,Charles D. Spielberger; Richard L. Gorsuch; Robert E. Lushene,Charles D. Spielberger,1970.0,https://openalex.org/W1607171655,,,,,,,,,en,,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"The STAI serves as an indicator of two types of anxiety, the state and trait anxiety, and measure the severity of the overall anxiety level.The STAI, which is appropriate for those who have at least a sixth grade reading level, contains four-point Likert items. The instrument is divided into two sections, each having twenty questions. Approximately 15 minutes are required for adults to complete the both STAI. The number on the scale is positively correlated to the anxiety related to in the question.",Anxiety; Likert scale; State-Trait Anxiety Inventory; Psychology; Trait; Clinical psychology; Trait anxiety; Psychiatry; Developmental psychology; Computer science; Programming language,False,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X001.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:-
A002,101152ajpheart20002786h2039,Physiological time-series analysis using approximate entropy and sample entropy,Joshua Richman; J. Randall Moorman,Joshua Richman,2000.0,10.1152/ajpheart.2000.278.6.h2039,https://pubmed.ncbi.nlm.nih.gov/10843903,,,American Journal of Physiology-Heart and Circulatory Physiology,278,6,H2039-H2049,American Physiological Society,en,https://doi.org/10.1152/ajpheart.2000.278.6.h2039,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"Entropy, as it relates to dynamical systems, is the rate of information production. Methods for estimation of the entropy of a system represented by a time series are not, however, well suited to analysis of the short and noisy data sets encountered in cardiovascular and other biological studies. Pincus introduced approximate entropy (ApEn), a set of measures of system complexity closely related to entropy, which is easily applied to clinical cardiovascular and other time series. ApEn statistics, however, lead to inconsistent results. We have developed a new and related complexity measure, sample entropy (SampEn), and have compared ApEn and SampEn by using them to analyze sets of random numbers with known probabilistic character. We have also evaluated cross-ApEn and cross-SampEn, which use cardiovascular data sets to measure the similarity of two distinct time series. SampEn agreed with theory much more closely than ApEn over a broad range of conditions. The improved accuracy of SampEn statistics should make them useful in the study of experimental clinical cardiovascular and other biological time series.",Sample entropy; Approximate entropy; Entropy (arrow of time); Mathematics; Time series; Statistics; Computer science; Physics; Quantum mechanics,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A003,101111psyp12027,The utility of low frequency heart rate variability as an index of sympathetic cardiac tone: A review with emphasis on a reanalysis of previous studies,Gustavo A. Reyes del Paso; Wolf Langewitz; Lambertus J.M. Mulder; Arie van Roon; Stefan Duschek,Gustavo A. Reyes del Paso,2013.0,10.1111/psyp.12027,https://pubmed.ncbi.nlm.nih.gov/23445494,,,Psychophysiology,50,5,477-487,Wiley,en,https://doi.org/10.1111/psyp.12027,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"This article evaluates the suitability of low frequency (LF) heart rate variability (HRV) as an index of sympathetic cardiac control and the LF/high frequency (HF) ratio as an index of autonomic balance. It includes a comprehensive literature review and a reanalysis of some previous studies on autonomic cardiovascular regulation. The following sources of evidence are addressed: effects of manipulations affecting sympathetic and vagal activity on HRV, predictions of group differences in cardiac autonomic regulation from HRV, relationships between HRV and other cardiac parameters, and the theoretical and mathematical bases of the concept of autonomic balance. Available data challenge the interpretation of the LF and LF/HF ratio as indices of sympathetic cardiac control and autonomic balance, respectively, and suggest that the HRV power spectrum, including its LF component, is mainly determined by the parasympathetic system.",Heart rate variability; Balance (ability); Autonomic nervous system; Vagal tone; Psychology; Heart rate; Sympathetic activity; Index (typography); Cardiology; Internal medicine; Neuroscience; Medicine,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A004,10116101cir986547,Mechanisms Underlying Very-Low-Frequency RR-Interval Oscillations in Humans,J. Andrew Taylor; Deborah L. Carr; Christopher W. Myers; Dwain L. Eckberg,J. Andrew Taylor,1998.0,10.1161/01.cir.98.6.547,https://pubmed.ncbi.nlm.nih.gov/9714112,,,Circulation,98,6,547-555,Ovid Technologies (Wolters Kluwer Health),en,https://doi.org/10.1161/01.cir.98.6.547,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"BACKGROUND: Survival of post-myocardial infarction patients is related inversely to their levels of very-low-frequency (0.003 to 0.03 Hz) RR-interval variability. The physiological basis for such oscillations is unclear. In our study, we used blocking drugs to evaluate potential contributions of sympathetic and vagal mechanisms and the renin-angiotensin-aldosterone system to very-low-frequency RR-interval variability in 10 young healthy subjects. METHODS AND RESULTS: We recorded RR intervals and arterial pressures during three separate sessions, with the patient in supine and 40 degree upright tilt positions, during 20-minute frequency (0.25 Hz) and tidal volume-controlled breathing after intravenous injections: saline (control), atenolol (0.2 mg/kg, beta-adrenergic blockade), atropine sulfate (0.04 mg/kg, parasympathetic blockade), atenolol and atropine (complete autonomic blockade), and enalaprilat (0.02 mg/kg, ACE blockade). We integrated fast Fourier transform RR-interval spectral power at very low (0.003 to 0.03 Hz), low (0.05 to 0. 15 Hz), and respiratory (0.2 to 0.3 Hz) frequencies. Beta-adrenergic blockade had no significant effect on very-low- or low-frequency RR-interval power but increased respiratory frequency power 2-fold. ACE blockade had no significant effect on low or respiratory frequency RR-interval power but modestly (approximately 21%) increased very-low-frequency power in the supine (but not upright tilt) position (P<0.05). The most profound effects were exerted by parasympathetic blockade: Atropine, given alone or with atenolol, abolished nearly all RR-interval variability and decreased very-low-frequency variability by 92%. CONCLUSIONS: Although very-low-frequency heart period rhythms are influenced by the renin-angiotensin-aldosterone system, as low and respiratory frequency RR-interval rhythms, they depend primarily on the presence of parasympathetic outflow. Therefore the prognostic value of very-low-frequency heart period oscillations may derive from the fundamental importance of parasympathetic mechanisms in cardiovascular health.",Medicine; Atenolol; Supine position; Blockade; Atropine; Anesthesia; Vagal tone; Cardiology; Internal medicine; Heart rate variability; Heart rate; Blood pressure,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A005,10116101cir901234,"Heart rate spectral analysis, cardiac norepinephrine spillover, and muscle sympathetic nerve activity during human sympathetic nervous activation and failure",Bronwyn A. Kingwell; Jordan M. Thompson; David M. Kaye; Grant A. McPherson; Garry Jennings; Murray Esler,Bronwyn A. Kingwell,1994.0,10.1161/01.cir.90.1.234,https://pubmed.ncbi.nlm.nih.gov/8026003,,,Circulation,90,1,234-240,Ovid Technologies (Wolters Kluwer Health),en,https://doi.org/10.1161/01.cir.90.1.234,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"BACKGROUND: Although heart rate variability (HRV) at 0.1 Hz has been proposed as a noninvasive clinical measure of cardiac sympathetic nerve firing, this premise has not been sufficiently validated by comparison with techniques such as microneurography and the measurement of norepinephrine spillover from the heart that more directly reflect presynaptic sympathetic activity. METHODS AND RESULTS: We compared the three techniques under conditions of effective cardiac sympathetic denervation, pure autonomic failure (n = 4), dopamine beta-hydroxylase deficiency (n = 1), and after cardiac transplantation (n = 9) as well as in the context of sympathetic nervous activation in cardiac failure (n = 15) and with aging (n = 10). Age-matched comparisons were made in each case with healthy individuals drawn from a pool of 52 volunteers. In pure autonomic failure and early after transplantation, cardiac norepinephrine spillover was negligible, and HRV was low. Late after transplantation, however, cardiac norepinephrine spillover returned to normal levels, and HRV remained low. In comparison to younger subjects (18 to 35 years old), older individuals (60 to 75 years old) had higher muscle sympathetic nerve activity (young, 22.9 +/- 1.9; old, 31.3 +/- 5.8 bursts per minute; P < .05) and cardiac norepinephrine spillover (young, 14.3 +/- 2.5; old, 20.1 +/- 3.0 ng/min; P < .05). In contrast, total HRV was reduced by 89%, and at 0.1 Hz it was reduced by 93% (P < .05). Cardiac failure was also characterized by elevated cardiac norepinephrine spillover (cardiac failure patients, 59 +/- 4; healthy volunteers, 18 +/- 3 ng/min; P < .01) but reduced 0.1 Hz HRV (cardiac failure patients, 49 +/- 17; healthy volunteers, 243 +/- 4 ms2; P < .05). CONCLUSIONS: HRV at 0.1 Hz depends on factors in addition to cardiac sympathetic nerve firing rates, including multiple neural reflexes, cardiac adrenergic receptor sensitivity, postsynaptic signal transduction, and electrochemical coupling, and is not directly related to cardiac norepinephrine spillover, which is a more direct measure of the sympathetic nerve firing rate.",Medicine; Norepinephrine; Internal medicine; Microneurography; Sympathetic nervous system; Heart failure; Heart rate variability; Autonomic nervous system; Cardiology; Heart rate; Pure autonomic failure; Heart transplantation,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A006,101111j146989861993tb02072x,"Respiratory sinus arrhythmia, cardiac vagal tone, and respiration: Within‐ and between‐individual relations",Paul Grossman; Márk Kollai,Paul Grossman,1993.0,10.1111/j.1469-8986.1993.tb02072.x,https://pubmed.ncbi.nlm.nih.gov/8416075,,,Psychophysiology,30,5,486-495,Wiley,en,https://doi.org/10.1111/j.1469-8986.1993.tb02072.x,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"Respiratory sinus arrhythmia (RSA) is frequently employed as an intra- and interindividual index of cardiac parasympathetic tone, although the relationship of RSA to interindividual differences in cardiac vagal tone remains questionable. Our study examined between- and within-subject relations among RSA, cardiac vagal tone, and respiratory parameters. Twenty-nine young adults performed two sessions of tasks under no medication and single and double autonomic blockade (intravenously administered propranolol and atropine). Parasympathetic tone was determined from heart period responses to complete vagal blockade. Results indicated the following. Resting RSA does not accurately predict individual differences in cardiac vagal tone. However, RSA and heart period together do predict such individual differences reasonably well. The relationship between individual variations in RSA and vagal tone is not improved by controlling respiratory parameters. Substantial cardiac vagal activity occurs during inspiration, and intraindividual variations in respiratory measures confound the association between RSA and cardiac vagal tone.",Vagal tone; Atropine; Vagus nerve; Propranolol; Respiratory system; Psychology; Heart rate; Respiration; Cardiology; Anesthesia; Autonomic nervous system; Internal medicine,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A007,101136jnnp72126,Heart rate dynamics in refractory and well controlled temporal lobe epilepsy,Hanna Ansakorpi,Hanna Ansakorpi,2002.0,10.1136/jnnp.72.1.26,https://pubmed.ncbi.nlm.nih.gov/11784820,,,"Journal of Neurology, Neurosurgery &amp; Psychiatry",72,1,26-30,BMJ,en,https://doi.org/10.1136/jnnp.72.1.26,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"OBJECTIVES: Disorders of cardiovascular and other autonomic nervous system functions are often found in patients with temporal lobe epilepsy (TLE). Cardiovascular dysregulation in TLE has previously been quantified assessing traditional time and frequency domain measures of heart rate (HR) variability from short term ECG recordings. However, new complexity and fractal measures of HR variability based on non-linear dynamics and fractals (""chaos theory"") may disclose certain patterns of HR dynamics that cannot be detected using only conventional measures. METHODS: In addition to the traditional spectral and non-spectral components of HR variability, fractal correlation properties, approximate entropy (ApEn) of RR interval dynamics, and the slope of the power law relation were measured from 24 hour ambulatory ECG recordings to evaluate interictal autonomic cardiovascular regulatory function in 19 patients with refractory TLE, 25 patients with well controlled TLE, and in 34 healthy age and sex matched control subjects. RESULTS: The traditional time and frequency domain measures were lower in patients with TLE than in controls (p<0.05). In addition, the power law slope (p<0.005) and ApEn (p<0.05) were also reduced in TLE patients. Furthermore, ApEn was smaller in patients with refractory TLE than in patients with well-controlled TLE ( p<0.01), whereas the long term fractal correlation value alpha2 was lower in patients with well controlled TLE (p<0.05). An altered HR variation was not associated with any particular AED regimen. CONCLUSIONS: In addition to reduced overall HR variability, the long term fractal organisation and complexity of HR dynamics seem to be altered in TLE. These abnormalities in HR behaviour may partly contribute to the occurrence of adverse cardiovascular events, such as life threatening arrhythmias in patients with TLE.",Temporal lobe; Epilepsy; Dynamics (music); Refractory (planetary science); Cardiology; Medicine; Neuroscience; Psychology; Physics; Pedagogy; Astrobiology,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-"
A008,101038oby2007201,Baroreflex Sensitivity in Obesity: Relationship With Cardiac Autonomic Nervous System Activity,Ioanna Skrapari; Nikolaοs Tentolouris; Δέσποινα Περρέα; Christos Bakoyiannis; Athanasia Papazafiropoulou; Nicholas Katsilambros,Ioanna Skrapari,2007.0,10.1038/oby.2007.201,https://pubmed.ncbi.nlm.nih.gov/17636086,,,Obesity,15,7,1685-1693,Wiley,en,https://doi.org/10.1038/oby.2007.201,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"OBJECTIVE: The aim of this study was to test the hypothesis that baroreflex sensitivity (BRS), assessed by indirect measurement of aortic pressure, is blunted in obesity. Additionally, the potential effect of cardiac autonomic nervous system (ANS) activity, aortic compliance, and metabolic parameters on BRS of obese subjects was investigated. RESEARCH METHODS AND PROCEDURES: A group of 30 women with BMI>30 kg/m2 and a group of 30 controls with BMI<25 kg/m2 were examined. BRS was estimated by the sequence technique, cardiac ANS activity by short-term spectral analysis of heart rate variability (HRV), and aortic compliance by the method of applanation tonometry. RESULTS: BRS was lower in obese women (9.18+/-3.77 vs. 19.63+/-9.16 ms/mm Hg, p<0.001). The median values (interquartile range) of the power of both the high-frequency and low-frequency components of the HRV were higher in the lean than in the obese participants [1079.2 (202.7 to 1716.9) vs. 224.1 (72.7 to 539.6) msec2, p=0.001 and 411.8 (199.3 to 798.0) vs. 235.8 (99.4 to 424.5) msec2, p=0.01 respectively]. Low-to-high-frequency ratio values were higher in the obese subjects [0.82 (0.47 to 2.1) vs. 0.57 (0.28 to 0.89), p=0.02]. Aortic augmentation values were not significantly different between lean and obese subjects. Multivariate analysis demonstrated a significant and independent association between BRS and age (p=0.003), BMI (p<0.001), and high-frequency power of HRV (p<0.001). These variables explained 72% of the variation of BRS values. DISCUSSION: BRS is severely reduced in obese subjects. BMI, age, and the parasympathetic nervous system activity are the main determinants of BRS. Baroreflex behavior is of clinical relevance because an attenuated BRS represents a negative prognostic factor in cardiovascular diseases, which are common in obesity.",Medicine; Baroreflex; Interquartile range; Heart rate variability; Cardiology; Internal medicine; Autonomic nervous system; Heart rate; Epicardial fat; Blood pressure; Obesity; Adipose tissue,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A009,1011770269881110367448,The role of central noradrenergic dysregulation in anxiety disorders: evidence from clinical studies,Nicola J. Kalk; DJ NUTT; Anne Lingford‐Hughes,Nicola J. Kalk,2010.0,10.1177/0269881110367448,https://pubmed.ncbi.nlm.nih.gov/20530586,,,Journal of Psychopharmacology,25,1,3-16,SAGE Publications,en,https://doi.org/10.1177/0269881110367448,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,"The nature of the noradrenergic dysregulation in clinical anxiety disorders remains unclear. In panic disorder, the predominant view has been that central noradrenergic neuronal networks and/or the sympathetic nervous system was normal in patients at rest, but hyper-reactive to specific stimuli, for example carbon dioxide. These ideas have been extended to other anxiety disorders, which share with panic disorder characteristic subjective anxiety and physiological symptoms of excess sympathetic activity. For example, Generalized Anxiety Disorder is characterized by chronic free-floating anxiety, muscle tension, palpitation and insomnia. It has been proposed that there is chronic central hypersecretion of noradrenaline in Generalized Anxiety Disorder, with consequent hyporesponsiveness of central post-synaptic receptors. With regards to other disorders, it has been suggested that there is noradrenergic involvement or derangement, but a more specific hypothesis has not been enunciated. This paper reviews the evidence for noradrenergic dysfunction in anxiety disorders, derived from indirect measures of noradrenergic function in clinical populations.",Anxiety; Panic disorder; Panic; Generalized anxiety disorder; Psychology; Anxiety disorder; Norepinephrine; Neuroscience; Arousal; Psychiatry; Clinical psychology; Dopamine,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
A010,101016000291499090308n,Reproducibility and circadian rhythm of heart rate variability in healthy subjects,Heikki V. Huikuri; Kenneth M. Kessler; Elisabeth Terracall; Agustin Castellanos; Markku K. Linnaluoto; Robert J. Myerburg,Heikki V. Huikuri,1990.0,10.1016/0002-9149(90)90308-n,https://pubmed.ncbi.nlm.nih.gov/2301268,,,The American Journal of Cardiology,65,5,391-393,Elsevier BV,en,https://doi.org/10.1016/0002-9149(90)90308-n,0.9,resolved,openalex,2026-08-16T22:28:34Z,X001,,Reproducibility; Medicine; Circadian rhythm; Cardiology; Heart rate variability; Internal medicine; Rhythm; Coronary artery disease; Heart rate; Electrocardiography; Standard deviation; Blood pressure,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR | missing:abstract"
A011,101002da20061,Effects of caffeine on linear and nonlinear measures of heart rate variability before and after exercise,Vikram K. Yeragani; Siddartha Krishnan; Hermann J. Engels; Randall J. Gretebeck,Vikram K. Yeragani,2005.0,10.1002/da.20061,https://pubmed.ncbi.nlm.nih.gov/15965989,,,Depression and Anxiety,21,3,130-134,Hindawi Limited,en,https://doi.org/10.1002/da.20061,0.9,resolved,openalex,2026-08-16T22:28:35Z,X001,"Caffeine intake is associated with an increase in heart rate (HR) variability. This study sought to examine the effects of caffeine on HR variability measures before and during progressive exercise in 11 healthy volunteers in a double-blind randomized and counterbalanced placebo-controlled paradigm. As expected, there were significant increases in HR and decreases in HR variability after exercise during both placebo and caffeine conditions; however, pre-exercise caffeine condition was associated with a significant increase of HR variability, especially in the high-frequency range (0.15-0.5 Hz), and also approximate entropy (APEN), which is usually attributed to cardiac vagal function. But during progressive exercise, caffeine intake resulted in a greater decrease of HF power as well as HR APEN. Caffeine also was associated with significantly higher LF power during exercise compared to the placebo condition. These results suggest that caffeine may have different effects on HR variability at rest, compared to exercise. These findings may have implications for patients with cardiac illness and anxiety, depression, and psychotic disorders who use beverages containing excessive caffeine.",Caffeine; Placebo; Heart rate; Heart rate variability; Medicine; Anxiety; Approximate entropy; Internal medicine; Cardiology; Anesthesia; Physical therapy; Psychology,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X001.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-"
